year,geo_name,geo,soc_name,soc,num_ppl,num_ppl_moe,num_ppl_rca,avg_wage,avg_wage_moe
2014,"California","04000US06","Pumping station operators","537070",1242,351.865,0.408695,55899.5,8518.66
2014,"California","04000US06","Refuse & recyclable material collectors","537081",10212,911.706,1.01636,28534.0,2450.35
2014,"California","04000US06","Military officer special & tactical operations leaders","551010",3571,614.266,0.818852,69953.2,6524.21
2014,"California","04000US06","Firstline enlisted military supervisors","552010",8655,1055.0,0.872825,60348.1,3701.12
2014,"California","04000US06","Military enlisted tactical operations & air/weapons specialists & crew members","553010",23941,1754.42,1.17033,29357.5,1596.16
2014,"California","04000US06","Military, rank not specified","559830",33141,2152.1,1.14478,44368.3,1424.23
2014,"California","04000US06","Chief executives & legislators","1110XX",145258,3524.17,1.17921,166127.0,3251.11
2014,"California","04000US06","Advertising & promotions managers","112011",6928,768.94,1.19237,93307.7,10979.7
2014,"California","04000US06","Marketing & sales managers","112020",113873,2777.7,1.21386,105167.0,1995.15
2014,"California","04000US06","Public relations & fundraising managers","112031",6215,743.359,1.08473,96403.1,9345.15
2014,"California","04000US06","Administrative services managers","113011",16222,1180.0,1.11311,72689.5,3190.28
2014,"California","04000US06","Computer & information systems managers","113021",62360,1862.93,1.03838,119564.0,2523.28
2014,"California","04000US06","Financial managers","113031",125827,3282.37,1.02225,103401.0,2397.8
2014,"California","04000US06","Industrial production managers","113051",24827,1470.35,0.962181,87262.1,3021.1
2014,"California","04000US06","Purchasing managers","113061",20469,1280.15,0.941298,85686.1,3725.45
2014,"California","04000US06","Transportation, storage, & distribution managers","113071",22710,1415.55,0.917943,61110.7,2941.33
2014,"California","04000US06","Farmers, ranchers, & other agricultural managers","119013",21320,1375.25,0.718793,64314.7,4322.51
2014,"California","04000US06","Construction managers","119021",56934,2249.34,0.986452,89277.1,2543.14
2014,"California","04000US06","Education administrators","119030",88591,2780.2,0.911401,76403.6,1490.36
2014,"California","04000US06","Architectural & engineering managers","119041",22712,1129.66,1.37079,168490.0,5095.93
