Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees,Population
2016,"Bullhead City, Arizona",18,71,28.7,113,39444.44444
2016,"Fountain, Colorado",18.1,51,22.1,62,28176.79558
2016,"Apple Valley, Minnesota",10.1,52,11.6,60,51485.14851
2016,"Paterson, New Jersey",26,383,32.5,478,147307.6923
2016,"Missoula, Montana",14.5,104,18.1,130,71724.13793
2016,"West Covina, California",8.5,93,14.3,156,109411.7647
2016,"Marshalltown, Iowa",14.8,41,21,58,27702.7027
2016,"Prescott Valley, Arizona",14.2,61,18.9,81,42957.74648
2016,"Temple Terrace, Florida",19.3,50,25.4,66,25906.73575
2016,"Nutley Township, New Jersey",25.8,74,30,86,28682.17054
2016,"Inver Grove Heights, Minnesota",11.1,39,12.6,44,35135.13514
2016,"Santa Barbara, California",15.1,140,22.2,205,92715.23179
2016,"Amherst Town, New York",12.4,149,14.9,179,120161.2903
2016,"Hazelwood, Missouri",26.1,67,30.4,78,25670.49808
2016,"Fairfield, Ohio",14.2,61,18.5,79,42957.74648
2016,"Wellesley, Massachusetts",13.4,39,15.5,45,29104.47761
2016,"Boston, Massachusetts",31.5,"2,125",39.7,"2,678",674603.1746
2016,"San Leandro, California",9.8,90,14.3,131,91836.73469
2016,"Annapolis, Maryland",27.5,109,38.5,153,39636.36364
2016,"Athens, Alabama",18.7,48,23,59,25668.4492
2016,"Rohnert Park, California",13.8,59,19.9,85,42753.62319
2016,"Westerville, Ohio",19.1,74,26.3,102,38743.4555
2016,"Lacey, Washington",10.6,50,12.3,58,47169.81132
2016,"Paragould, Arkansas",17,48,20.9,59,28235.29412
2016,"Leavenworth, Kansas",14.4,52,20.8,75,36111.11111
2016,"Southington, Connecticut",15.5,68,20.3,89,43870.96774
2016,"Culver City, California",25.1,100,38.4,153,39840.63745
2016,"Santa Paula, California",9.7,30,12.3,38,30927.83505
2016,"Bangor, Maine",23.6,76,28.5,92,32203.38983
2016,"Monroe Township, Middlesex County, New Jersey",12.2,55,16,72,45081.96721
2016,"Upper Merion Township, Pennsylvania",22.3,64,27.9,80,28699.55157
2016,"Lexington, Massachusetts",14,47,18.1,61,33571.42857
2016,"St. Charles, Illinois",15.5,52,18.8,63,33548.3871
2016,"Blaine, Minnesota",9.3,59,11.1,70,63440.86022
2016,"Shaler Township, Pennsylvania",9.1,26,9.8,28,28571.42857
2016,"Fremont, Nebraska",14,37,15.9,42,26428.57143
2016,"North Miami Beach, Florida",23.9,106,31.5,140,44351.46444
2016,"Delhi Township, Ohio",10.1,30,10.8,32,29702.9703
2016,"Franklin, Tennessee",17.1,128,18.6,139,74853.80117
2016,"Monroe Township, Gloucester County, New Jersey",18.2,67,19.8,73,36813.18681
2016,"Old Bridge Township, New Jersey",13.4,90,17.4,117,67164.1791
2016,"Troy, Michigan",12.2,102,17.8,149,83606.55738
2016,"Jeffersontown, Kentucky",18.1,49,21.8,59,27071.8232
2016,"Shreveport, Louisiana",26.7,524,36.2,711,196254.6816
2016,"Caldwell, Idaho",12.1,64,14.8,78,52892.56198
2016,"Fall River, Massachusetts",24.7,218,30,265,88259.10931
2016,"Waxahachie, Texas",17.3,59,22.3,76,34104.04624
2016,"Pasadena, California",16.3,234,24.9,357,143558.2822
2016,"Redmond, Washington",12.8,79,19.9,123,61718.75
2016,"Dedham, Massachusetts",22.4,57,23.2,59,25446.42857
2016,"Wallkill Town, New York",13.7,39,14,40,28467.15328
2016,"Cabot, Arkansas",16.2,42,20.4,53,25925.92593
2016,"Bettendorf, Iowa",12.5,45,14.5,52,36000
2016,"Springfield, Missouri",20.4,344,24.8,418,168627.451
2016,"Long Branch, New Jersey",26.5,82,33.3,103,30943.39623
2016,"Gilroy, California",11.5,62,16.1,87,53913.04348
2016,"Cypress, California",10.7,53,13.9,69,49532.71028
2016,"Gates Town, New York",10.5,30,12.2,35,28571.42857
2016,"Cedar Park, Texas",11.6,80,16.8,116,68965.51724
2016,"Millcreek Township, Pennsylvania",11.5,62,14.4,78,53913.04348
2016,"Salinas, California",8.4,134,12,191,159523.8095
2016,"Napa, California",8.5,69,13.6,110,81176.47059
2016,"Allen Park, Michigan",14.7,40,15.8,43,27210.88435
2016,"Fort Lee, New Jersey",24.5,90,29.9,110,36734.69388
2016,"Honolulu, Hawaii",20.5,"2,042",25.5,"2,537",996097.561
2016,"Mooresville, North Carolina",21.7,79,26.9,98,36405.52995
2016,"Nacogdoches, Texas",18.5,63,25.5,87,34054.05405
2016,"Waterford Township, Michigan",7.2,53,9.5,70,73611.11111
2016,"Jacksonville, Florida",20,"1,758",33.5,"2,947",879000
2016,"Everett, Massachusetts",21.6,101,23.5,110,46759.25926
2016,"Kyle, Texas",9.1,34,15.8,59,37362.63736
2016,"Boise, Idaho",12.3,272,16.4,363,221138.2114
2016,"Dover, New Hampshire",16.1,50,23.5,73,31055.90062
2016,"Beaverton, Oregon",13.7,134,17.5,171,97810.21898
2016,"Arlington, Massachusetts",14.7,66,18.7,84,44897.95918
2016,"Independence, Missouri",15.7,184,21.9,257,117197.4522
2016,"Jonesboro, Arkansas",20.6,155,24.2,182,75242.71845
2016,"Brookfield, Wisconsin",18.4,70,23.1,88,38043.47826
2016,"Westport, Connecticut",22,62,26.6,75,28181.81818
2016,"Marietta, Georgia",23,137,29.4,175,59565.21739
2016,"Orange, New Jersey",31.8,97,38.7,118,30503.14465
2016,"Chicago, Illinois",43.9,"11,954",48.2,"13,135",2723006.834
2016,"Marlborough, Massachusetts",16.3,65,19.3,77,39877.30061
2016,"Kingman, Arizona",18.6,54,24.4,71,29032.25806
2016,"Danville, Virginia",29.7,124,31.7,132,41750.84175
2016,"Denver, Colorado",21.2,"1,483",25.7,"1,799",699528.3019
2016,"Anaheim, California",11.5,408,15.9,562,354782.6087
2016,"Watsonville, California",12.6,68,15.9,86,53968.25397
2016,"Holland, Michigan",16.8,57,19.2,65,33928.57143
2016,"Kirkland, Washington",10.6,94,14.7,130,88679.24528
2016,"Haverford Township, Pennsylvania",14.2,70,16.7,82,49295.77465
2016,"Joliet, Illinois",17.8,263,22.3,330,147752.809
2016,"Jackson Township, New Jersey",15.4,87,18.6,105,56493.50649
2016,"Auburn, Washington",13.8,108,16.3,128,78260.86957
2016,"Houston, Texas",22.2,"5,182",28.4,"6,632",2334234.234
2016,"Lauderdale Lakes, Florida",11.1,39,11.6,41,35135.13514
2016,"Chicopee, Massachusetts",23.2,132,23.9,136,56896.55172
2016,"Fort Myers, Florida",23.4,179,31.1,238,76495.7265
2016,"Owensboro, Kentucky",15.2,90,22.9,136,59210.52632
2016,"Arlington Heights, Illinois",14.2,108,17.9,136,76056.33803
