Year	Police Department	Officers per 10K Population	Officers	Total Employees per 10K Population	Total Employees	
2016	"Richmond, Virginia"	30.6	680	36.1	802	
2016	"Ewing Township, New Jersey"	20.6	75	25.8	94	
2016	"Newnan, Georgia"	20.7	79	24.4	93	
2016	"Citrus Heights, California"	10	88	15.3	134	
2016	"Cornelius, North Carolina"	21.6	62	26.8	77	
2016	"Pflugerville, Texas"	13.9	82	18.5	109	
2016	"Fairborn, Ohio"	13.4	45	17.6	59	
2016	"Gilroy, California"	11.5	62	16.1	87	
2016	"Brick Township, New Jersey"	17.9	134	26.2	196	
2016	"Oak Lawn, Illinois"	19	108	21.8	124	
2016	"North Huntingdon Township, Pennsylvania"	9.1	28	11	34	
2016	"Clinton, Iowa"	15.4	40	17.8	46	
2016	"South Bend, Indiana"	23.6	240	27.9	284	
2016	"South Jordan, Utah"	7.1	50	8.3	58	
2016	"Riviera Beach, Florida"	31.2	107	43.7	150	
2016	"Anaheim, California"	11.5	408	15.9	562	
2016	"Dalton, Georgia"	24.4	83	28.2	96	
2016	"Jacksonville, Florida"	20	"1,758"	33.5	"2,947"	
2016	"Mason City, Iowa"	16.9	46	18.7	51	
2016	"Burien, Washington"	10.2	52	14.5	74	
2016	"Madison, Mississippi"	25.7	67	32.9	86	
2016	"Joplin, Missouri"	19.6	102	28.1	146	
2016	"Eureka, California"	17.4	47	26.3	71	
2016	"Council Bluffs, Iowa"	17.4	109	20.6	129	
2016	"St. Cloud, Florida"	16.7	79	24.7	117	
2016	"Scranton, Pennsylvania"	19.4	150	22	170	
2016	"New Lenox, Illinois"	14.2	37	15.7	41	
2016	"Petersburg, Virginia"	28.8	93	37.2	120	
2016	"Ramapo Town, New York"	10.3	95	12.6	117	
2016	"Tustin, California"	10.7	87	16	131	
2016	"Livermore, California"	9.9	89	14.9	133	
2016	"Madison Heights, Michigan"	15.2	46	19.1	58	
2016	"Danvers, Massachusetts"	16.4	46	20.7	58	
2016	"Little Rock, Arkansas"	26.4	525	32.1	639	
2016	"Alhambra, California"	9.8	84	14.5	125	
2016	"Collierville, Tennessee"	20	99	27.7	137	
2016	"Fairfield, Connecticut"	17.3	107	18.3	113	
2016	"Bell Gardens, California"	11.5	50	16.6	72	
2016	"Hemet, California"	7.3	62	10.8	92	
2016	"Broomfield, Colorado"	16.1	108	31.2	209	
2016	"Cedar Park, Texas"	11.6	80	16.8	116	
2016	"Cedar Rapids, Iowa"	16.3	214	21.3	280	
2016	"Sherwood, Arkansas"	21.8	67	31	95	
2016	"Piscataway Township, New Jersey"	14.6	85	18	105	
2016	"Upper Darby Township, Pennsylvania"	15.2	126	17.5	145	
2016	"Prescott, Arizona"	16.1	68	19.1	81	
2016	"Carol Stream, Illinois"	14.8	60	20.3	82	
2016	"Enid, Oklahoma"	18.8	98	23.4	122	
2016	"Hazelwood, Missouri"	26.1	67	30.4	78	
2016	"La Porte, Texas"	21.2	75	29.9	106	
2016	"Greeley, Colorado"	14.1	145	19.1	196	
2016	"Niles, Illinois"	18.4	55	22.8	68	
2016	"Belmont, Massachusetts"	17.9	46	23.4	60	
2016	"Dothan, Alabama"	23.3	161	33.7	233	
2016	"Downey, California"	9.2	106	13.1	150	
2016	"Crystal Lake, Illinois"	14.9	60	17.1	69	
2016	"Oak Ridge, Tennessee"	18.8	55	24.2	71	
2016	"Oak Forest, Illinois"	14.6	41	18.5	52	
2016	"New Haven, Connecticut"	34.8	454	39	509	
2016	"Aurora, Colorado"	18.3	670	22.1	810	
2016	"Costa Mesa, California"	9.8	112	15.1	172	
2016	"Springfield, Ohio"	20.2	120	22.2	132	
2016	"Alameda, California"	10.2	81	13.8	110	
2016	"Auburn, New York"	24.6	66	26.4	71	
2016	"Farmington, Connecticut"	17.5	45	23.8	61	
2016	"Tredyffrin Township, Pennsylvania"	14.2	42	15.9	47	
2016	"Gardena, California"	15.6	95	19.6	119	
2016	"Hamburg Town, New York"	13.3	61	16.9	78	
2016	"Blackman Township, Michigan"	9.1	34	9.3	35	
2016	"Grants Pass, Oregon"	14.2	53	22.8	85	
2016	"Hamilton, Ohio"	17.8	111	19.2	120	
2016	"Bothell, Washington"	13.2	58	19.2	84	
